model.family,model.size,model.device,model.task_type,model.format,model.quantization,status,error,performance.fps,performance.mean_ms,performance.p50_ms,performance.p95_ms,performance.p99_ms,performance.min_ms,performance.max_ms,cpu.cpu_power,cpu.cpu_utilization.unit,cpu.cpu_utilization.samples,cpu.cpu_utilization.mean,cpu.cpu_utilization.p50,cpu.cpu_utilization.p95,cpu.cpu_utilization.p99,cpu.cpu_utilization.min,cpu.cpu_utilization.max,cpu.cpu_temperature.unit,cpu.cpu_temperature.samples,cpu.cpu_temperature.mean,cpu.cpu_temperature.p50,cpu.cpu_temperature.p95,cpu.cpu_temperature.p99,cpu.cpu_temperature.min,cpu.cpu_temperature.max,gpu.vram_usage,gpu.gpu_power,gpu.gpu_utilization,gpu.gpu_temperature,quality,performance,cpu,gpu
yolo11,s,cpu,detect,pytorch,fp32,success,,0.6996594395161282,1429.266788269993,1435.3631270000733,1481.3739759999862,1507.570921000024,1337.9974429999493,1519.7195729999748,,percent,1390,53.91654676258993,53.7,70.7,76.7,32.5,85.4,celsius,1390,56.39190647481949,56.2,57.3,57.85,54.0,57.85,,,,,,,,
yolo11,s,cpu,detect,openvino,fp32,success,,1.8631038318999833,536.7387382700005,531.294680999963,597.4708500000361,612.1926970001823,489.7415689999889,617.6776939998945,,percent,514,95.87821011673118,95.5,100.0,100.0,60.6,100.0,celsius,514,61.191731517509986,61.15,62.25,62.8,58.4,62.8,,,,,,,,
yolo11,s,cpu,detect,openvino,fp16,success,,2.0945577779764917,477.42774657000825,469.9875559999782,536.864702999992,548.6074240000107,432.0000699999582,549.0198690001762,,percent,461,96.01518438177845,97.5,100.0,100.0,66.3,100.0,celsius,461,62.902603036876,62.8,63.9,64.45,61.15,65.0,,,,,,,,
yolo26,n,cpu,detect,pytorch,fp32,success,,1.8920680083127626,528.522228380016,526.6961540000921,564.7460659999979,575.2374860001055,466.8523660000119,577.9321049999453,,percent,513,62.037621832358724,61.0,73.8,78.0,47.5,89.0,celsius,513,57.892884990253194,57.85,58.95,59.5,55.1,60.05,,,,,,,,
yolo26,n,cpu,detect,openvino,fp32,success,,5.29027820244661,189.025975900006,186.99041699983354,208.90099199982615,218.13436699994782,172.06195400012803,220.3906879999522,,percent,184,95.5717391304349,95.1,100.0,100.0,56.8,100.0,celsius,184,60.99157608695651,61.15,62.25,62.25,58.95,62.8,,,,,,,,
yolo26,n,cpu,detect,openvino,fp16,success,,5.497680599282751,181.8948885700024,179.318602000194,203.41962599991348,210.7674970000062,166.69297700013885,211.1345349999283,,percent,177,96.01468926553677,97.5,100.0,100.0,68.8,100.0,celsius,177,62.00451977401127,62.25,62.8,63.35,60.05,63.9,,,,,,,,
yolo26,s,cpu,detect,pytorch,fp32,success,,0.6769679952605561,1477.1747069299977,1471.7331879999165,1527.208791000021,1540.1084529999025,1409.8847169998407,1543.1025539999155,,percent,1437,55.09547668754337,54.8,72.1,78.0,32.5,82.9,celsius,1437,56.45260960333947,56.2,57.3,57.85,54.0,58.95,,,,,,,,
yolo26,s,cpu,detect,openvino,fp32,success,,2.407802691229628,415.316422580006,408.0330460001278,467.64630000006946,483.67490600003293,371.76168200016946,486.67079699998794,,percent,403,96.1501240694788,97.5,100.0,100.0,58.6,100.0,celsius,403,63.449627791563536,63.35,65.0,65.0,60.05,65.0,,,,,,,,
yolo26,s,cpu,detect,openvino,fp16,success,,2.096898268753964,476.8948569899999,470.75085799997396,535.1612269998895,548.7221460000455,432.0371779999732,556.9649679998747,,percent,461,96.04685466377421,97.5,100.0,100.0,65.8,100.0,celsius,461,63.7806941431673,63.9,64.45,65.0,61.7,65.55,,,,,,,,
yolov8,n,cpu,segment,pytorch,fp32,success,,1.376385638588958,726.5405653499693,726.1730150003132,739.7229990001506,741.0107590003463,705.5456960006268,744.4457580004382,,percent,709,50.61495063469675,48.8,65.0,74.4,35.0,81.4,celsius,710,53.067323943662224,52.9,54.55,54.55,50.7,55.65,,,,,,,,
