[2026-07-21 03:15:05,803] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov26n [openvino]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:15:10,710] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov26n [openvino] 32/32 кадров | FPS~6.5 | latency avg=153.3мс min=131.8мс max=180.8мс | CPU=633% GPU=0% RAM=2860МБ Power=16.5Вт GPU_temp=72°C
[2026-07-21 03:15:18,096] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov26n [tensorrt]...
[2026-07-21 03:17:09,618] #INFO     edge_ai_benchmark.infrastructure.models.tensorrt_loader - Загрузка TensorRT engine yolov26n из yolo26n-seg.engine
[2026-07-21 03:17:12,500] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov26n [tensorrt]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:17:20,205] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov26n [tensorrt] 32/32 кадров | FPS~4.2 | latency avg=240.7мс min=186.1мс max=326.8мс | CPU=416% GPU=18% RAM=2830МБ Power=20.1Вт GPU_temp=78°C
[2026-07-21 03:17:57,166] #INFO     edge_ai_benchmark.infrastructure.reporters.json_reporter - JSON-отчёт записан: results\results_20260721T025956.json
[2026-07-21 03:17:57,166] #INFO     edge_ai_benchmark.cli - Результаты (run_id=20260721T025956) записаны: results\results_20260721T025956.json
[2026-07-21 03:17:57,170] #INFO     edge_ai_benchmark.infrastructure.reporters.csv_reporter - CSV-отчёт записан: results\results_20260721T025956.csv
[2026-07-21 03:17:57,172] #INFO     edge_ai_benchmark.cli - Результаты (run_id=20260721T025956) записаны: results\results_20260721T025956.csv
[2026-07-21 03:17:57,172] #INFO     edge_ai_benchmark.infrastructure.reporters.markdown_reporter - Markdown-отчёт записан: results\results_20260721T025956.md
[2026-07-21 03:17:57,174] #INFO     edge_ai_benchmark.cli - Результаты (run_id=20260721T025956) записаны: results\results_20260721T025956.md
[2026-07-21 03:17:57,349] #INFO     edge_ai_benchmark.infrastructure.reporters.html_reporter - HTML-дашборд записан: results\results_20260721T025956.html
[2026-07-21 03:17:57,350] #INFO     edge_ai_benchmark.cli - Результаты (run_id=20260721T025956) записаны: results\results_20260721T025956.html
[2026-07-21 03:17:57,350] #INFO     edge_ai_benchmark.cli - Удаляю скачанные/экспортированные веса моделей этого прогона...
